id,ficha_personagem_id,proficiencia,proficiente
13001,1001,ARMAS_SIMPLES,true
13002,1001,ARMAS_MARCIAIS,true
13003,1001,PROTECAO_LEVE,true
13004,1001,PROTECAO_MEDIA,true
13005,1001,ESCUDOS,true
13006,1002,ARMAS_SIMPLES,true
13007,1002,ARMAS_MARCIAIS,true
13008,1002,PROTECAO_LEVE,true
13009,1002,IDIOMA_COMUM,true
13010,1002,IDIOMA_ELFICO,true
13011,1003,ARMAS_SIMPLES,true
13012,1003,ARMAS_COMPLEXAS,true
13013,1003,PROTECAO_LEVE,true
13014,1003,PROTECAO_MEDIA,true
13015,1003,IDIOMA_COMUM,true
13016,1004,ARMAS_SIMPLES,true
13017,1004,ARMAS_PESADAS,true
13018,1004,PROTECAO_PESADA,true
13019,1004,ESCUDOS,true
13020,1004,IDIOMA_COMUM,true
13021,1005,ARMAS_SIMPLES,true
13022,1005,IDIOMA_COMUM,true
13023,1005,IDIOMA_DRACONICO,true
13024,1005,IDIOMA_RUNICO,true
13025,1005,INTRUMENTO_HABILIDADE,true
13026,1006,ARMAS_SIMPLES,true
13027,1006,ARMAS_MARCIAIS,true
13028,1006,PROTECAO_LEVE,true
13029,1006,IDIOMA_COMUM,true
13030,1006,INTRUMENTO_OFICIO,true
13031,1007,ARMAS_SIMPLES,true
13032,1007,ARMAS_PESADAS,true
13033,1007,PROTECAO_MEDIA,true
13034,1007,PROTECAO_PESADA,true
13035,1007,IDIOMA_GIGANTE,true
13036,1008,ARMAS_SIMPLES,true
13037,1008,IDIOMA_COMUM,true
13038,1008,IDIOMA_SILVESTRE,true
13039,1008,IDIOMA_AQUATICO,true
13040,1009,ARMAS_SIMPLES,true
13041,1009,PROTECAO_LEVE,true
13042,1009,PROTECAO_MEDIA,true
13043,1009,ESCUDOS,true
13044,1009,IDIOMA_COMUM,true
13045,1009,IDIOMA_PRIMORDIAL,true
13046,1010,ARMAS_SIMPLES,true
13047,1010,ARMAS_MARCIAIS,true
13048,1010,PROTECAO_LEVE,true
13049,1010,IDIOMA_COMUM,true
13050,1010,IDIOMA_ELFICO,true
13051,1010,IDIOMA_SILVESTRE,true
13052,1011,ARMAS_SIMPLES,true
13053,1011,ARMAS_MARCIAIS,true
13054,1011,ARMAS_PESADAS,true
13055,1011,PROTECAO_LEVE,true
13056,1011,PROTECAO_MEDIA,true
13057,1011,IDIOMA_COMUM,true
13058,1011,IDIOMA_ORC,true
13059,1012,ARMAS_SIMPLES,true
13060,1012,IDIOMA_COMUM,true
13061,1012,IDIOMA_GNOMICO,true
13062,1012,INTRUMENTO_HABILIDADE,true
13063,1013,ARMAS_SIMPLES,true
13064,1013,PROTECAO_LEVE,true
13065,1013,ESCUDOS,true
13066,1013,IDIOMA_COMUM,true
13067,1013,IDIOMA_SILVESTRE,true
13068,1013,IDIOMA_PRIMORDIAL,true
13069,1014,ARMAS_SIMPLES,true
13070,1014,ARMAS_MARCIAIS,true
13071,1014,ARMAS_PESADAS,true
13072,1014,PROTECAO_PESADA,true
13073,1014,ESCUDOS,true
13074,1014,IDIOMA_COMUM,true
13075,1014,IDIOMA_ANAO,true
13076,1014,INTRUMENTO_OFICIO,true
13077,1015,ARMAS_SIMPLES,true
13078,1015,IDIOMA_COMUM,true
13079,1015,IDIOMA_INFERNAL,true
13080,1015,IDIOMA_OOPARNEELA,true
