id;ficha_personagem_id;atributo;valor;valor_temp;created_at;updated_at;version;is_active
2001;1001;FORCA;15;0;2025-01-10 10:00:00;2025-01-10 10:00:00;1001;TRUE
2002;1001;AGILIDADE;12;0;2025-01-10 10:00:00;2025-01-10 10:00:00;1001;TRUE
2003;1001;CONSTITUICAO;14;0;2025-01-10 10:00:00;2025-01-10 10:00:00;1001;TRUE
2004;1001;MENTE;13;0;2025-01-10 10:00:00;2025-01-10 10:00:00;1001;TRUE
2005;1001;PRESENCA;11;0;2025-01-10 10:00:00;2025-01-10 10:00:00;1001;TRUE
2006;1001;INFLUENCIA;10;0;2025-01-10 10:00:00;2025-01-10 10:00:00;1001;TRUE
2007;1002;FORCA;10;0;2025-01-10 11:30:00;2025-01-10 11:30:00;1001;TRUE
2008;1002;AGILIDADE;17;0;2025-01-10 11:30:00;2025-01-10 11:30:00;1001;TRUE
2009;1002;CONSTITUICAO;12;0;2025-01-10 11:30:00;2025-01-10 11:30:00;1001;TRUE
2010;1002;MENTE;15;0;2025-01-10 11:30:00;2025-01-10 11:30:00;1001;TRUE
2011;1002;PRESENCA;14;0;2025-01-10 11:30:00;2025-01-10 11:30:00;1001;TRUE
2012;1002;INFLUENCIA;13;0;2025-01-10 11:30:00;2025-01-10 11:30:00;1001;TRUE
2013;1003;FORCA;15;0;2025-01-10 14:15:00;2025-01-10 14:15:00;1001;TRUE
2014;1003;AGILIDADE;13;0;2025-01-10 14:15:00;2025-01-10 14:15:00;1001;TRUE
2015;1003;CONSTITUICAO;14;0;2025-01-10 14:15:00;2025-01-10 14:15:00;1001;TRUE
2016;1003;MENTE;12;0;2025-01-10 14:15:00;2025-01-10 14:15:00;1001;TRUE
2017;1003;PRESENCA;16;0;2025-01-10 14:15:00;2025-01-10 14:15:00;1001;TRUE
2018;1003;INFLUENCIA;14;0;2025-01-10 14:15:00;2025-01-10 14:15:00;1001;TRUE
2019;1004;FORCA;8;0;2025-01-10 16:45:00;2025-01-10 16:45:00;1001;TRUE
2020;1004;AGILIDADE;18;0;2025-01-10 16:45:00;2025-01-10 16:45:00;1001;TRUE
2021;1004;CONSTITUICAO;11;0;2025-01-10 16:45:00;2025-01-10 16:45:00;1001;TRUE
2022;1004;MENTE;14;0;2025-01-10 16:45:00;2025-01-10 16:45:00;1001;TRUE
2023;1004;PRESENCA;12;0;2025-01-10 16:45:00;2025-01-10 16:45:00;1001;TRUE
2024;1004;INFLUENCIA;15;0;2025-01-10 16:45:00;2025-01-10 16:45:00;1001;TRUE
2025;1005;FORCA;12;0;2025-01-10 18:20:00;2025-01-10 18:20:00;1001;TRUE
2026;1005;AGILIDADE;10;0;2025-01-10 18:20:00;2025-01-10 18:20:00;1001;TRUE
2027;1005;CONSTITUICAO;14;0;2025-01-10 18:20:00;2025-01-10 18:20:00;1001;TRUE
2028;1005;MENTE;16;0;2025-01-10 18:20:00;2025-01-10 18:20:00;1001;TRUE
2029;1005;PRESENCA;15;0;2025-01-10 18:20:00;2025-01-10 18:20:00;1001;TRUE
2030;1005;INFLUENCIA;13;0;2025-01-10 18:20:00;2025-01-10 18:20:00;1001;TRUE
2031;1006;FORCA;9;0;2025-01-10 20:10:00;2025-01-10 20:10:00;1001;TRUE
2032;1006;AGILIDADE;14;0;2025-01-10 20:10:00;2025-01-10 20:10:00;1001;TRUE
2033;1006;CONSTITUICAO;12;0;2025-01-10 20:10:00;2025-01-10 20:10:00;1001;TRUE
2034;1006;MENTE;17;0;2025-01-10 20:10:00;2025-01-10 20:10:00;1001;TRUE
2035;1006;PRESENCA;13;0;2025-01-10 20:10:00;2025-01-10 20:10:00;1001;TRUE
2036;1006;INFLUENCIA;11;0;2025-01-10 20:10:00;2025-01-10 20:10:00;1001;TRUE
