id;ficha_personagem_id;habilidade_id;grau_habilidade;atributo_chave_personagem;atributo_personagem_id;mod_dado_habilidade;mod_temp;mod_outros;created_at;updated_at;version;created_by_user_id;updated_by_user_id;is_active
2001;1001;1;LEIGO;FORCA;2001;0;0;0;2025-01-10 10:00:00;2025-01-10 10:00:00;1001;1001;1001;TRUE
2016;1002;16;MESTRE;FORCA;2007;2;0;1;2025-01-10 10:00:00;2025-01-10 10:00:00;1001;1001;1001;TRUE
2017;1002;1;VERSADO;AGILIDADE;2008;3;0;0;2025-01-10 11:30:00;2025-01-10 11:30:00;1001;1001;1001;TRUE
2018;1003;9;ADEPTO;FORCA;2013;1;0;2;2025-01-10 14:15:00;2025-01-10 14:15:00;1001;1001;1001;TRUE
2019;1004;8;MESTRE;AGILIDADE;2020;2;0;1;2025-01-10 16:45:00;2025-01-10 16:45:00;1001;1001;1001;TRUE
2020;1005;4;APEX_HUMANO;MENTE;2028;3;0;0;2025-01-10 18:20:00;2025-01-10 18:20:00;1001;1001;1001;TRUE
2021;1006;4;VERSADO;MENTE;2034;2;0;1;2025-01-10 20:10:00;2025-01-10 20:10:00;1001;1001;1001;TRUE
2022;1007;18;MESTRE;AGILIDADE;2038;2;0;0;2025-01-11 09:30:00;2025-01-11 09:30:00;1001;1001;1001;TRUE
2023;1008;6;ADEPTO;FORCA;2043;1;0;2;2025-01-11 13:45:00;2025-01-11 13:45:00;1001;1001;1001;TRUE
2024;1009;3;MESTRE;PRESENCA;2053;2;0;1;2025-01-11 15:20:00;2025-01-11 15:20:00;1001;1001;1001;TRUE
2025;1010;14;VERSADO;MENTE;2058;3;0;0;2025-01-11 17:30:00;2025-01-11 17:30:00;1001;1001;1001;TRUE
2026;1011;12;ADEPTO;MENTE;2064;1;0;2;2025-01-11 19:15:00;2025-01-11 19:15:00;1001;1001;1001;TRUE
2027;1012;13;MESTRE;PRESENCA;2071;2;0;1;2025-01-12 10:45:00;2025-01-12 10:45:00;1001;1001;1001;TRUE
2028;1013;20;VERSADO;FORCA;2073;3;0;0;2025-01-12 14:20:00;2025-01-12 14:20:00;1001;1001;1001;TRUE
2029;1014;8;ADEPTO;AGILIDADE;2080;1;0;2;2025-01-12 16:10:00;2025-01-12 16:10:00;1001;1001;1001;TRUE
2030;1015;15;MESTRE;MENTE;2088;2;0;1;2025-01-12 18:35:00;2025-01-12 18:35:00;1001;1001;1001;TRUE
