id;ficha_personagem_id;atributo;valor;valor_temp;created_at;updated_at;version;created_by_user_id;updated_by_user_id;is_active
1;1;FORCA;12;;2025-07-01 10:00:00;2025-07-01 10:00:00;1;1;;true
2;1;AGILIDADE;14;;2025-07-01 10:00:00;2025-07-01 10:00:00;1;1;;true
3;1;CONSTITUICAO;13;;2025-07-01 10:00:00;2025-07-01 10:00:00;1;1;;true
4;1;INFLUENCIA;8;;2025-07-01 10:00:00;2025-07-01 10:00:00;1;1;;true
5;1;MENTE;10;;2025-07-01 10:00:00;2025-07-01 10:00:00;1;1;;true
6;1;PRESENCA;12;;2025-07-01 10:00:00;2025-07-01 10:00:00;1;1;;true
7;2;FORCA;8;;2025-07-01 10:00:00;2025-07-01 10:00:00;1;1;;true
8;2;AGILIDADE;16;;2025-07-01 10:00:00;2025-07-01 10:00:00;1;1;;true
9;2;CONSTITUICAO;10;;2025-07-01 10:00:00;2025-07-01 10:00:00;1;1;;true
10;2;INFLUENCIA;12;;2025-07-01 10:00:00;2025-07-01 10:00:00;1;1;;true
11;2;MENTE;15;;2025-07-01 10:00:00;2025-07-01 10:00:00;1;1;;true
12;2;PRESENCA;14;;2025-07-01 10:00:00;2025-07-01 10:00:00;1;1;;true
13;3;FORCA;14;;2025-07-01 10:00:00;2025-07-01 10:00:00;1;1;;true
14;3;AGILIDADE;10;;2025-07-01 10:00:00;2025-07-01 10:00:00;1;1;;true
15;3;CONSTITUICAO;16;;2025-07-01 10:00:00;2025-07-01 10:00:00;1;1;;true
16;3;INFLUENCIA;12;;2025-07-01 10:00:00;2025-07-01 10:00:00;1;1;;true
17;3;MENTE;8;;2025-07-01 10:00:00;2025-07-01 10:00:00;1;1;;true
18;3;PRESENCA;10;;2025-07-01 10:00:00;2025-07-01 10:00:00;1;1;;true
